,City,Cloudiness,Country,Date,Lat,Long,Humidity,Max_Temp,Wind_Speed
90,Jalu,0,LY,1562100654,29.03,21.55,48,78.56,17.0
91,Ketchikan,90,US,1562100655,55.34,-131.65,77,64.4,11.41
92,Cayenne,100,GF,1562100655,4.94,-52.33,83,80.6,6.93
93,Touros,46,BR,1562100656,-5.2,-35.46,80,80.0,15.43
94,Biak,99,ID,1562100656,-0.91,122.88,95,62.72,2.55
95,Makaha,75,US,1562100657,21.47,-158.22,69,90.0,6.93
96,Nikolskoye,75,RU,1562100658,59.7,30.79,77,62.6,2.24
97,Kudahuvadhoo,100,MV,1562100658,2.67,72.89,68,83.42,7.0
98,Escarcega,0,MX,1562100659,18.61,-90.75,39,98.18,6.93
99,Pangai,75,TO,1562100659,-19.8,-174.35,83,77.0,17.22
100,Kavieng,13,PG,1562100660,-2.57,150.8,77,83.42,14.97
101,Tall Kayf,0,TR,1562100660,37.08,41.07,15,82.4,11.41
102,Anadyr,20,RU,1562100661,64.73,177.51,81,48.2,8.95
103,Igurubi,15,TZ,1562100661,-4.0,33.71,43,69.74,4.88
104,Flinders,40,AU,1562100662,-34.58,150.85,61,53.01,8.05
105,Taoudenni,0,ML,1562100662,22.68,-3.98,8,103.76,8.63
106,Palmer,75,AU,1562100549,-34.85,139.16,93,52.0,1.12
107,Kapaa,1,US,1562100663,22.08,-159.32,74,82.4,10.29
108,Dingle,44,PH,1562100663,11.0,122.67,84,73.88,2.42
109,Victoria,75,BN,1562100449,5.28,115.24,88,80.6,7.25
110,Cape Town,75,ZA,1562100383,-33.93,18.42,93,57.99,20.8
111,Canutama,0,BR,1562100665,-6.53,-64.38,40,91.88,1.92
112,Taksimo,40,RU,1562100589,56.36,114.84,61,61.28,6.69
113,Avarua,16,CK,1562100666,-21.21,-159.78,56,71.6,16.11
114,Merauke,60,ID,1562100667,-8.49,140.4,81,75.86,18.43
115,Klaksvik,0,FO,1562100667,62.23,-6.59,75,46.4,12.75
116,Bima,5,ID,1562100668,-8.45,118.73,98,68.12,3.02
117,Mollendo,100,PE,1562100668,-17.03,-72.02,84,60.56,11.65
118,Wawa,62,NG,1562100669,9.9,4.41,81,78.74,1.45
119,Qaanaaq,0,GL,1562100669,77.48,-69.36,44,49.94,3.31
120,Clyde River,90,CA,1562100670,70.47,-68.59,93,35.6,18.34
121,Kapit,97,MY,1562100670,2.02,112.94,89,72.8,1.52
122,Knysna,94,ZA,1562100671,-34.04,23.05,51,62.6,11.41
123,Quirinopolis,0,BR,1562100671,-18.45,-50.45,42,75.14,3.0
124,Peniche,90,PT,1562100672,39.36,-9.38,88,64.99,5.82
125,East London,67,ZA,1562100672,-33.02,27.91,28,62.72,9.42
126,Rapid Valley,1,US,1562100673,44.06,-103.15,45,86.0,17.22
127,Tasiilaq,100,GL,1562100673,65.61,-37.64,80,41.0,42.5
128,Neepawa,40,CA,1562100674,50.23,-99.46,52,66.2,10.29
129,Luwuk,99,ID,1562100675,-0.95,122.79,95,62.72,2.55
130,Vershino-Darasunskiy,0,RU,1562100675,52.35,115.52,67,57.86,2.64
131,Ponta do Sol,0,BR,1562100676,-20.63,-46.0,54,66.32,4.47
132,Namibe,0,AO,1562100676,-15.19,12.15,80,69.74,5.5
133,Chicama,90,PE,1562100677,-7.84,-79.15,88,64.4,10.29
134,Mitsamiouli,0,KM,1562100677,-11.38,43.28,76,77.3,19.19
135,Mar del Plata,79,AR,1562100678,-46.43,-67.52,75,37.16,9.48
136,Ola,98,RU,1562100678,59.58,151.3,94,44.54,9.75
137,Mutis,80,CO,1562100680,6.23,-77.4,84,78.74,10.04
138,Chifeng,0,CN,1562100680,42.27,118.96,43,63.26,7.02
139,Maunabo,40,PR,1562100682,18.01,-65.9,66,88.0,5.82
140,Hasaki,75,JP,1562100682,35.73,140.83,100,72.0,3.36
141,Sistranda,40,NO,1562100683,63.73,8.83,87,46.0,19.46
142,Airai,76,TL,1562100683,-8.93,125.41,85,70.1,3.31
143,Cam Ranh,40,VN,1562100684,11.92,109.15,70,84.2,11.41
144,Shahrud,0,IR,1562100685,36.42,54.97,58,54.08,2.04
145,Natal,75,BR,1562100685,-5.81,-35.21,78,78.8,10.29
146,Kondinskoye,0,RU,1562100686,59.65,67.41,78,61.64,8.81
147,Vardo,1,US,1562100686,39.62,-77.74,46,95.0,6.93
148,Saskylakh,1,RU,1562100687,71.97,114.09,66,44.54,6.38
149,Madang,92,CN,1562100688,35.32,102.79,83,38.96,2.86
150,Avera,1,US,1562100688,33.19,-82.53,35,100.0,3.36
151,Meridian,1,US,1562100524,43.61,-116.39,31,82.0,10.58
152,Caravelas,11,BR,1562100689,-17.73,-39.27,86,74.24,9.31
153,Tuatapere,67,NZ,1562100689,-46.13,167.69,88,46.0,15.48
154,Atherton,20,AU,1562100690,-17.27,145.48,87,60.8,8.05
155,Bam,0,IR,1562100690,29.11,58.36,23,74.24,5.53
156,Oistins,40,BB,1562100603,13.07,-59.53,62,86.0,17.22
157,Padang,97,ID,1562100691,-0.92,100.36,80,81.08,8.61
158,Bertoua,100,CM,1562100692,4.58,13.68,95,69.92,0.94
159,Bud,75,NO,1562100693,62.91,6.91,81,46.4,26.4
160,Vila Velha,0,BR,1562100693,-3.71,-38.6,74,82.4,12.75
161,Iskateley,100,RU,1562100694,67.68,53.15,96,57.86,8.01
162,Atiquizaya,9,SV,1562100694,13.97,-89.76,54,87.02,4.92
163,Marawi,100,PH,1562100695,8.0,124.29,92,73.99,5.01
164,Kadipaten,88,ID,1562100695,-6.76,108.17,90,64.88,2.98
165,Faanui,85,PF,1562100696,-16.48,-151.75,81,77.48,29.59
166,Georgetown,20,GY,1562100399,6.8,-58.16,74,86.0,16.11
167,Pitimbu,40,BR,1562100697,-7.47,-34.81,78,78.8,9.17
168,Iqaluit,20,CA,1562100697,63.75,-68.52,53,50.0,6.93
169,Salalah,75,OM,1562100698,17.01,54.1,94,82.4,9.17
170,Hualmay,21,PE,1562100547,-11.1,-77.61,88,62.9,19.26
171,Scarborough,30,GB,1562100480,54.28,-0.41,72,62.01,4.7
172,Tiksi,100,RU,1562100700,71.64,128.87,93,36.8,11.3
173,Mehtar Lam,1,AF,1562100701,34.67,70.21,42,84.2,2.24
174,Wewak,86,PG,1562100702,-3.55,143.63,90,74.42,5.97
175,Lamar,20,US,1562100702,38.09,-102.62,37,86.0,9.66
176,Bolshoy Kamen,75,RU,1562100703,43.12,132.36,100,60.8,2.24
177,Sayyan,92,YE,1562100703,15.17,44.32,62,76.4,1.79
178,Anzio,0,IT,1562100704,41.45,12.63,50,80.01,1.12
179,Sumenep,94,ID,1562100704,-7.02,113.87,89,74.24,5.73
180,San Quintin,100,PH,1562100705,17.54,120.52,88,74.78,4.09
181,Kodiak,1,US,1562100481,39.95,-94.76,15,93.2,8.99
182,Lebu,75,ET,1562100705,8.96,38.73,82,60.8,4.7
183,Provideniya,90,RU,1562100706,64.42,-173.23,100,46.4,6.71
184,Cidreira,0,BR,1562100706,-30.17,-50.22,65,52.64,1.01
185,Kasempa,24,ZM,1562100707,-13.46,25.83,40,56.06,4.25
186,Kerouane,99,GN,1562100707,12.23,-12.34,79,81.44,2.98
187,Haines Junction,100,CA,1562100708,60.75,-137.51,61,65.6,6.2
188,Arona,75,IT,1562100708,45.76,8.56,69,86.0,3.36
189,Aksarka,0,RU,1562100709,66.56,67.8,63,64.7,7.18
190,Meulaboh,100,ID,1562100710,4.14,96.13,76,81.98,5.3
191,Ternate,75,PH,1562100710,14.29,120.72,83,80.6,2.24
192,Tura,14,RU,1562100711,64.27,100.22,60,56.24,3.4
193,Oussouye,97,SN,1562100711,12.49,-16.54,86,78.92,11.61
194,Mahon,75,IE,1562100712,51.89,-8.4,82,57.99,2.24
195,Kotelnich,49,RU,1562100712,58.31,48.34,90,52.82,4.0
196,Longyearbyen,75,NO,1562100713,78.22,15.63,75,46.4,13.87
197,Mae Hong Son,100,MM,1562100713,19.3,97.96,99,67.04,2.08
198,Mareeba,20,AU,1562100714,-16.99,145.42,87,60.8,8.05
199,Baker City,32,US,1562100590,44.77,-117.83,38,78.01,10.76
200,Katsuura,75,JP,1562100715,33.93,134.5,94,71.6,3.36
201,Half Moon Bay,90,US,1562100715,37.46,-122.43,82,75.2,10.29
202,Madisonville,40,US,1562100716,37.33,-87.5,58,91.0,5.82
203,Esperance,90,AU,1562100716,-33.86,121.89,76,51.8,6.93
204,Nang Rong,100,TH,1562100717,14.64,102.79,72,78.01,4.56
205,Port Elizabeth,1,US,1562100717,39.31,-74.98,45,93.0,10.29
206,Sitka,13,US,1562100718,37.17,-99.65,33,92.24,7.47
207,Richards Bay,0,ZA,1562100718,-28.77,32.06,60,66.32,14.85
208,Lethem,7,GY,1562100719,3.38,-59.8,64,84.32,12.64
209,Yoichi,100,JP,1562100719,43.19,140.77,99,59.0,11.68
210,Te Anau,6,NZ,1562100720,-45.41,167.72,76,47.96,9.22
211,Champerico,20,MX,1562100720,16.38,-93.6,52,89.6,5.82
212,Moron,82,HT,1562100721,18.56,-74.26,82,80.54,2.33
213,Hithadhoo,100,MV,1562100721,-0.6,73.08,78,83.6,11.16
214,Nanortalik,97,GL,1562100584,60.14,-45.24,96,35.18,1.54
215,Carnarvon,0,ZA,1562100722,-30.97,22.13,51,43.64,8.25
216,Leningradskiy,100,RU,1562100722,69.38,178.42,98,36.8,3.8
217,Poso,100,ID,1562100723,-1.4,120.75,86,62.54,1.72
218,Viedma,95,AR,1562100723,-40.81,-62.99,58,45.08,26.4
219,Yeppoon,90,AU,1562100724,-23.13,150.74,87,57.2,1.12
220,Ust-Karsk,48,RU,1562100724,52.71,118.82,70,58.94,2.26
221,Tigil,100,RU,1562100725,57.8,158.67,79,53.72,9.46
222,Inhambane,0,MZ,1562100726,-23.87,35.38,92,59.12,1.92
223,Boden,0,SE,1562100726,65.83,21.69,58,55.4,3.36
224,Lichinga,0,MZ,1562100726,-13.3,35.25,82,62.6,6.93
225,Macenta,100,GN,1562100727,8.55,-9.47,98,71.54,0.81
226,Crixas,0,BR,1562100727,-14.55,-49.97,36,77.84,4.68
227,Kerman,0,IR,1562100728,30.29,57.06,26,84.2,11.41
228,Lompoc,1,US,1562100729,34.64,-120.46,36,82.99,16.11
229,Tuy Hoa,100,VN,1562100730,13.08,109.3,64,78.92,11.05
230,Marabba,69,SD,1562100730,12.35,32.18,70,78.74,6.26
231,Birao,73,CF,1562100731,10.3,22.78,80,76.76,6.15
232,Saint George,0,GR,1562100693,39.45,22.34,57,75.2,2.71
233,Oyama,75,JP,1562100732,36.31,139.8,100,75.0,1.12
234,Khani,0,GE,1562100733,41.96,42.96,93,66.2,2.24
235,Same,100,TL,1562100733,-9.0,125.65,96,62.36,2.82
236,Havelock,20,US,1562100614,34.88,-76.9,46,93.2,13.87
237,Matara,0,BI,1562100734,-3.48,29.48,72,52.1,1.25
238,Wad Rawah,8,SD,1562100735,15.16,33.13,36,93.5,5.68
239,Vigia,0,PT,1562100736,40.51,-8.69,93,68.0,4.7
240,Lorengau,25,PG,1562100737,-2.02,147.27,84,78.92,7.27
241,High Level,75,CA,1562100737,58.52,-117.13,42,66.2,17.22
242,Northam,0,AU,1562100738,-31.65,116.67,76,55.4,10.29
243,Poya,0,NC,1562100738,-21.35,165.16,71,71.0,6.29
244,Kysyl-Syr,70,RU,1562100739,63.9,122.77,64,48.14,14.41
245,Saint-Augustin,20,CA,1562100740,45.63,-73.98,39,87.01,6.93
246,Sioux Lookout,75,CA,1562100740,50.1,-91.92,42,82.4,13.87
247,Atbasar,79,KZ,1562100741,51.81,68.36,84,58.22,8.9
248,Codrington,90,AU,1562100741,-28.95,153.24,93,54.0,2.95
249,Sur,0,OM,1562100742,22.57,59.53,57,86.3,9.44
250,New Norfolk,75,AU,1562100743,-42.78,147.06,81,43.0,8.05
251,Flin Flon,75,CA,1562100743,54.77,-101.88,71,57.2,10.29
252,Nome,1,US,1562100744,30.04,-94.42,74,86.0,3.36
253,Talara,0,PE,1562100744,-4.58,-81.27,290,62.6,11.41
254,Chapais,90,CA,1562100745,49.78,-74.86,43,73.4,11.41
255,Minot,40,US,1562100745,48.23,-101.3,60,71.6,11.41
256,Kavaratti,100,IN,1562100745,10.57,72.64,80,83.42,18.37
257,Elko,1,US,1562100746,40.83,-115.76,15,82.99,8.05
258,Necochea,95,AR,1562100746,-38.55,-58.74,90,41.0,15.01
259,Quibdo,40,CO,1562100747,5.69,-76.66,66,89.6,5.82
260,Vao,100,EE,1562100747,59.1,26.19,96,55.34,9.82
261,Selenginsk,87,RU,1562100748,52.01,106.87,63,62.6,2.24
262,Ostrow Wielkopolski,1,PL,1562100748,51.66,17.81,7,59.0,8.39
263,Ponta Delgada,20,PT,1562100749,37.73,-25.67,88,69.8,14.99
264,Gimli,44,CA,1562100749,50.63,-96.99,29,75.0,11.01
265,Sosva,94,RU,1562100750,59.17,61.86,76,62.54,7.87
266,Mezen,41,RU,1562100750,65.85,44.24,62,60.38,7.16
267,Lipova,0,RO,1562100751,46.09,21.7,73,77.0,3.36
268,Chiriqui,40,PA,1562100751,8.39,-82.32,94,80.6,6.93
269,Jonesboro,40,US,1562100752,35.84,-90.7,66,91.4,9.17
270,Sa Kaeo,100,TH,1562100752,13.8,102.09,92,75.14,5.77
271,Saint-Pierre,0,FR,1562100753,48.95,4.24,63,64.4,10.29
272,Vilhena,0,BR,1562100634,-12.74,-60.15,39,84.68,4.29
273,Mutsu,20,JP,1562100755,41.29,141.2,100,66.99,3.36
274,Emerald,90,AU,1562100756,-23.53,148.16,67,59.0,5.82
275,Posse,0,BR,1562100756,-14.08,-46.36,34,73.7,1.74
276,Sheridan,75,US,1562100757,39.65,-105.03,30,87.01,5.82
277,Qarqin,0,AF,1562100757,37.41,66.03,28,78.56,21.61
278,Sharjah,0,AE,1562100758,25.36,55.39,63,93.2,4.7
279,Tuktoyaktuk,75,CA,1562100758,69.44,-133.03,76,50.0,14.99
280,Hervey Bay,8,AU,1562100759,-25.3,152.85,87,57.2,6.93
281,San Vicente,40,EC,1562100759,-0.59,-80.41,69,78.8,9.17
282,Ilulissat,75,GL,1562100759,69.22,-51.1,30,57.2,14.99
283,Moussoro,99,TD,1562100760,13.64,16.49,37,93.32,10.36
284,Coihaique,90,CL,1562100608,-45.58,-72.07,75,42.8,1.3
285,Carson City,1,US,1562100762,39.16,-119.77,19,84.99,10.29
286,Zhanaozen,0,KZ,1562100762,43.35,52.85,63,69.74,15.77
287,Sola,0,TZ,1562100763,-3.17,33.8,70,65.96,3.36
288,Taitung,100,TW,1562100763,22.76,121.15,95,64.16,2.66
289,Tete,40,MZ,1562100764,-16.16,33.59,73,73.4,6.82
290,Iranshahr,0,IR,1562100764,27.21,60.69,39,98.6,4.43
291,Komatipoort,0,MZ,1562100765,-25.43,31.96,79,46.99,3.49
292,Gandajika,0,CD,1562100765,-6.75,23.95,33,70.64,4.07
293,Coahuayana,0,MX,1562100766,18.62,-100.35,52,89.9,2.15
294,Aba,100,NG,1562100766,5.11,7.36,91,76.58,6.08
295,Ancud,75,CL,1562100767,-41.87,-73.83,75,46.4,4.7
296,Sanski Most,75,BA,1562100767,44.77,16.67,65,80.6,9.17
297,Darhan,99,MN,1562100768,49.49,105.92,74,60.02,0.74
298,Khonsa,100,IN,1562100768,26.99,95.51,87,70.46,4.27
299,Bethel,90,US,1562100769,60.79,-161.76,82,55.4,18.34
300,Uribia,100,CO,1562100769,11.71,-72.27,48,90.08,14.14
301,Hami,34,CN,1562100770,42.84,93.51,20,85.04,8.43
302,Bonthe,100,SL,1562100770,7.53,-12.5,90,78.02,9.93
303,Walvis Bay,0,NA,1562100771,-22.95,14.51,20,77.0,9.17
304,Juli,6,CN,1562100771,25.21,100.58,96,59.48,3.94
305,Port-Gentil,20,GA,1562100772,-0.72,8.78,88,73.4,9.17
306,Shadrinsk,100,RU,1562100772,56.09,63.63,96,60.74,12.64
307,Lagoa,0,PT,1562100606,37.14,-8.45,60,75.2,8.05
308,Ostersund,0,SE,1562100774,63.18,14.64,65,44.6,12.75
309,Taihe,99,CN,1562100681,26.8,114.92,85,74.24,1.54
310,Petropavlovsk-Kamchatskiy,90,RU,1562100775,53.05,158.65,100,46.4,4.47
311,Waitati,100,NZ,1562100603,-45.75,170.57,59,55.0,5.99
312,San Patricio,100,PY,1562100776,-26.98,-56.83,86,59.3,2.08
313,Mbumi,0,TZ,1562100776,-7.91,39.21,89,71.0,2.98
314,Mecca,0,SA,1562100637,21.43,39.83,63,79.28,5.91
315,Aksu,0,KZ,1562100777,52.04,76.93,55,66.2,13.42
316,Brae,44,GB,1562100777,60.4,-1.35,76,50.0,16.11
317,Rio Brilhante,83,BR,1562100778,-21.8,-54.54,47,77.12,7.61
318,Constantine,40,DZ,1562100778,36.36,6.61,60,75.2,3.36
319,Vila,0,IT,1562100779,45.18,8.4,57,84.99,8.05
320,Karasjok,75,NO,1562100779,69.47,25.52,87,46.4,10.29
321,Lavrentiya,100,RU,1562100780,65.58,-170.99,95,43.46,4.59
322,Ozernovskiy,100,RU,1562100780,51.5,156.52,94,43.64,2.95
323,Ardakan,20,IR,1562100781,32.31,54.02,27,86.0,9.17
324,Formosa,0,BR,1562100782,-15.55,-47.33,47,67.22,3.98
325,Tambovka,0,RU,1562100782,47.32,47.38,57,78.2,10.89
326,Constitucion,75,MX,1562100783,23.99,-104.67,14,82.0,8.05
327,Yamethin,100,MM,1562100784,20.43,96.14,81,75.5,14.41
328,Joliette,75,CA,1562100784,46.02,-73.44,37,87.01,19.46
329,Vicam,5,MX,1562100784,27.64,-110.3,27,98.6,10.29
330,Kulhudhuffushi,97,MV,1562100785,6.62,73.07,76,83.06,11.63
331,Burns Lake,77,CA,1562100668,54.23,-125.76,30,77.48,1.81
332,Raudeberg,40,NO,1562100786,61.99,5.14,75,46.4,20.8
333,Gat,1,SN,1562100786,14.69,-16.54,74,78.8,9.17
334,Dauphin,1,CA,1562100490,51.15,-100.04,49,68.0,19.46
335,Concepcion,22,CO,1562100787,9.56,-73.66,68,88.28,4.21
336,Kaeo,96,NZ,1562100788,-35.1,173.78,96,62.01,3.0
337,Itaqui,72,BR,1562100788,-29.13,-56.55,88,53.9,1.97
338,Torbay,40,CA,1562100746,47.66,-52.73,82,68.0,12.75
339,Batasan,75,PH,1562100789,14.89,120.71,100,80.6,2.24
340,Kuytun,100,RU,1562100790,54.34,101.51,95,55.52,4.0
341,Souillac,85,FR,1562100791,45.6,-0.6,60,75.2,4.7
342,Namatanai,71,PG,1562100791,-3.66,152.44,86,78.74,14.88
343,Varhaug,75,NO,1562100792,58.61,5.65,81,52.0,18.34
344,Wentzville,75,US,1562100634,38.81,-90.85,69,93.0,5.82
345,Galesong,75,ID,1562100792,-5.32,119.37,100,75.2,2.24
346,Pevek,90,RU,1562100793,69.7,170.27,96,36.08,12.03
347,North Bend,90,US,1562100794,43.41,-124.22,63,72.0,12.75
348,Nawa,41,IN,1562100794,27.02,75.0,36,94.4,11.05
349,Benton Harbor,1,US,1562100795,42.12,-86.45,46,91.99,9.17
350,Vanimo,100,PG,1562100795,-2.67,141.3,77,80.36,6.42
351,Otjiwarongo,0,NA,1562100796,-20.46,16.65,23,53.6,3.36
352,Pontian Kecil,75,MY,1562100797,1.48,103.39,83,84.2,9.17
353,Douglas,20,US,1562100798,58.28,-134.39,68,68.0,10.29
354,Sibolga,100,ID,1562100624,1.74,98.78,77,81.62,3.58
355,Gao,0,ML,1562100800,16.28,-0.04,11,100.34,9.1
356,Sergeyevka,90,KZ,1562100800,53.88,67.42,95,58.04,11.41
357,Port Macquarie,90,AU,1562100645,-31.43,152.91,100,46.4,2.24
358,Buala,40,SB,1562100801,-8.15,159.59,82,80.36,8.28
359,Kropotkin,0,RU,1562100801,45.43,40.58,69,67.76,7.2
360,Beira,75,ES,1562100802,43.2,-8.36,88,66.0,8.05
361,San Carlos de Bariloche,40,AR,1562100782,-41.13,-71.31,60,39.2,18.34
362,Laguna,40,BZ,1562100803,16.17,-88.94,55,91.4,9.17
363,Sao Filipe,95,CV,1562100803,14.9,-24.5,82,73.7,19.91
364,Maragogi,54,BR,1562100804,-9.01,-35.22,92,72.26,4.34
365,Santa Cruz,27,BR,1562100805,-6.22,-36.02,78,74.78,11.43
366,Polson,1,US,1562100805,47.69,-114.16,38,75.99,2.59
367,Yelan,95,RU,1562100806,50.95,43.74,59,68.0,1.99
368,Kharp,100,RU,1562100806,66.82,65.8,79,60.56,4.16
369,San Pedro,62,AR,1562100807,-33.68,-59.66,48,55.99,4.0
370,Khuzhir,65,RU,1562100807,53.19,107.35,49,59.3,0.34
371,Suure-Jaani,99,EE,1562100807,58.54,25.46,91,55.0,5.01
372,Poltava,38,UA,1562100808,49.59,34.55,94,66.5,6.29
373,Vila Franca do Campo,20,PT,1562100808,37.72,-25.43,88,69.8,14.99
374,Penco,0,CL,1562100809,-36.74,-72.99,66,53.6,11.41
375,Mazamari,25,PE,1562100547,-11.33,-74.53,74,49.58,5.66
